,call_type,received_timestamp,disptach_timestamp,dispatch_time,coordinates
5127,Medical Incident,0 days 17:26:40.000000000,0 days 17:27:54.000000000,0 days 00:01:14.000000000,37.73589457 -122.3910721
5128,Medical Incident,0 days 02:05:29.000000000,0 days 02:06:23.000000000,0 days 00:00:54.000000000,37.73812754 -122.4240635
5129,Medical Incident,0 days 23:20:19.000000000,0 days 23:21:50.000000000,0 days 00:01:31.000000000,37.78714009 -122.4320886
5130,Medical Incident,0 days 17:10:57.000000000,0 days 17:17:39.000000000,0 days 00:06:42.000000000,37.76274366 -122.4217477
5131,Medical Incident,0 days 12:04:04.000000000,0 days 12:04:47.000000000,0 days 00:00:43.000000000,37.73457071 -122.3918317
5132,Citizen Assist / Service Call,0 days 06:28:19.000000000,0 days 06:29:36.000000000,0 days 00:01:17.000000000,37.76653011 -122.4212887
5133,Alarms,0 days 20:40:14.000000000,0 days 20:40:42.000000000,0 days 00:00:28.000000000,37.78802755 -122.4478045
5134,Medical Incident,0 days 14:26:40.000000000,0 days 14:28:24.000000000,0 days 00:01:44.000000000,37.71872229 -122.3891183
5135,Medical Incident,0 days 17:55:41.000000000,0 days 17:56:25.000000000,0 days 00:00:44.000000000,37.78594273 -122.4189026
5136,Medical Incident,0 days 17:10:57.000000000,0 days 17:12:18.000000000,0 days 00:01:21.000000000,37.77515106 -122.4328041
5137,Medical Incident,0 days 19:58:27.000000000,0 days 20:00:44.000000000,0 days 00:02:17.000000000,37.73457071 -122.3918317
5138,Medical Incident,0 days 02:53:24.000000000,0 days 02:57:31.000000000,0 days 00:04:07.000000000,37.79573711 -122.4234131
5139,Alarms,0 days 18:42:45.000000000,0 days 18:45:22.000000000,0 days 00:02:37.000000000,37.76930364 -122.4426108
5140,Medical Incident,0 days 18:32:23.000000000,0 days 18:37:16.000000000,0 days 00:04:53.000000000,37.77078768 -122.4004626
5141,Medical Incident,0 days 23:07:23.000000000,0 days 23:07:57.000000000,0 days 00:00:34.000000000,37.73740625 -122.4240401
5142,Medical Incident,0 days 18:06:44.000000000,0 days 18:06:44.000000000,0 days 00:00:00.000000000,37.76544761 -122.4131052
5143,Medical Incident,0 days 10:14:57.000000000,0 days 10:16:16.000000000,0 days 00:01:19.000000000,37.78225009 -122.4112686
5144,Medical Incident,0 days 12:57:25.000000000,0 days 13:00:20.000000000,0 days 00:02:55.000000000,37.74524779 -122.3906484
5145,Medical Incident,0 days 16:56:01.000000000,0 days 16:58:05.000000000,0 days 00:02:04.000000000,37.80526026 -122.4160538
5146,Medical Incident,0 days 16:55:33.000000000,0 days 16:58:53.000000000,0 days 00:03:20.000000000,37.77908938 -122.4319258
5147,Medical Incident,0 days 23:20:19.000000000,0 days 23:20:49.000000000,0 days 00:00:30.000000000,37.72810493 -122.4617256
5148,Medical Incident,0 days 22:27:47.000000000,0 days 22:27:55.000000000,0 days 00:00:08.000000000,37.76274366 -122.4217477
5149,Traffic Collision,0 days 17:00:18.000000000,0 days 17:00:18.000000000,0 days 00:00:00.000000000,37.73490503 -122.3863042
5150,Medical Incident,0 days 12:15:13.000000000,0 days 12:15:13.000000000,0 days 00:00:00.000000000,37.71882359 -122.4004234
5151,Medical Incident,0 days 13:26:02.000000000,0 days 13:30:34.000000000,0 days 00:04:32.000000000,37.77623052 -122.414711
5152,Alarms,0 days 11:08:36.000000000,0 days 11:12:06.000000000,0 days 00:03:30.000000000,37.79053181 -122.4039142
5153,Medical Incident,0 days 19:21:31.000000000,0 days 19:26:29.000000000,0 days 00:04:58.000000000,37.7971786 -122.4101446
5154,Medical Incident,0 days 14:00:03.000000000,0 days 14:01:44.000000000,0 days 00:01:41.000000000,37.71710621 -122.4297477
5155,Medical Incident,0 days 14:25:18.000000000,0 days 14:31:51.000000000,0 days 00:06:33.000000000,37.77091334 -122.420305
5156,Medical Incident,0 days 12:56:19.000000000,0 days 12:58:23.000000000,0 days 00:02:04.000000000,37.77600992 -122.4128894
5157,Medical Incident,0 days 06:37:49.000000000,0 days 06:39:03.000000000,0 days 00:01:14.000000000,37.78737446 -122.4377476
5158,Alarms,0 days 00:15:33.000000000,0 days 00:18:42.000000000,0 days 00:03:09.000000000,37.79169725 -122.3921341
5159,Medical Incident,0 days 16:42:11.000000000,0 days 16:43:36.000000000,0 days 00:01:25.000000000,37.78331041 -122.3883799
5160,Medical Incident,0 days 11:48:43.000000000,0 days 11:55:55.000000000,0 days 00:07:12.000000000,37.72218522 -122.3987437
5161,Medical Incident,0 days 23:28:55.000000000,0 days 23:31:58.000000000,0 days 00:03:03.000000000,37.77650804 -122.4144578
5162,Alarms,0 days 00:15:33.000000000,0 days 00:18:42.000000000,0 days 00:03:09.000000000,37.71948129 -122.4078044
5163,Outside Fire,0 days 07:39:50.000000000,0 days 07:40:18.000000000,0 days 00:00:28.000000000,37.78331041 -122.3883799
5164,Medical Incident,0 days 08:42:21.000000000,0 days 08:46:10.000000000,0 days 00:03:49.000000000,37.79804495 -122.3963671
5165,Medical Incident,0 days 03:41:46.000000000,0 days 03:43:25.000000000,0 days 00:01:39.000000000,37.76546531 -122.4331481
5166,Alarms,0 days 12:58:08.000000000,0 days 13:01:49.000000000,0 days 00:03:41.000000000,37.78479798 -122.4396639
5167,Medical Incident,0 days 23:59:37.000000000,0 days 00:00:25.000000000,-1 days +00:00:48.000000000,37.72238833 -122.4277819
5168,Medical Incident,0 days 19:58:27.000000000,0 days 20:00:44.000000000,0 days 00:02:17.000000000,37.74161828 -122.448658
5169,Medical Incident,0 days 19:32:30.000000000,0 days 19:33:12.000000000,0 days 00:00:42.000000000,37.79573711 -122.4234131
5170,Medical Incident,0 days 18:32:23.000000000,0 days 18:38:29.000000000,0 days 00:06:06.000000000,37.76661195 -122.4046178
5171,Medical Incident,0 days 11:25:56.000000000,0 days 11:28:14.000000000,0 days 00:02:18.000000000,37.73740625 -122.4240401
5172,Structure Fire,0 days 19:53:01.000000000,0 days 19:55:15.000000000,0 days 00:02:14.000000000,37.77256476 -122.4305998
5173,Medical Incident,0 days 17:54:42.000000000,0 days 17:55:33.000000000,0 days 00:00:51.000000000,37.77710453 -122.3927504
5174,Medical Incident,0 days 09:51:55.000000000,0 days 09:52:50.000000000,0 days 00:00:55.000000000,37.7825474 -122.4122479
5175,Medical Incident,0 days 07:10:26.000000000,0 days 07:14:31.000000000,0 days 00:04:05.000000000,37.78916078 -122.4161834
5176,Structure Fire,0 days 19:53:01.000000000,0 days 19:55:15.000000000,0 days 00:02:14.000000000,37.73485505 -122.3794869
5177,Medical Incident,0 days 16:39:37.000000000,0 days 16:40:52.000000000,0 days 00:01:15.000000000,37.77710453 -122.3927504
5178,Medical Incident,0 days 10:25:51.000000000,0 days 10:28:51.000000000,0 days 00:03:00.000000000,37.77708346 -122.4169793
5179,Medical Incident,0 days 17:55:41.000000000,0 days 17:56:25.000000000,0 days 00:00:44.000000000,37.72569336 -122.4522897
5180,Medical Incident,0 days 15:08:24.000000000,0 days 15:12:15.000000000,0 days 00:03:51.000000000,37.77515106 -122.4328041
5181,Traffic Collision,0 days 20:52:16.000000000,0 days 20:53:22.000000000,0 days 00:01:06.000000000,37.80702731 -122.4138125
5182,Medical Incident,0 days 11:42:30.000000000,0 days 11:44:53.000000000,0 days 00:02:23.000000000,37.77273891 -122.4483313
5183,Medical Incident,0 days 14:26:43.000000000,0 days 14:31:51.000000000,0 days 00:05:08.000000000,37.78428162 -122.4046146
5184,Medical Incident,0 days 13:21:19.000000000,0 days 13:22:00.000000000,0 days 00:00:41.000000000,37.77475978 -122.4164573
5185,Traffic Collision,0 days 16:59:12.000000000,0 days 17:00:30.000000000,0 days 00:01:18.000000000,37.75502234 -122.499644
5186,Medical Incident,0 days 12:27:53.000000000,0 days 12:29:30.000000000,0 days 00:01:37.000000000,37.73238239 -122.4362384
5187,Medical Incident,0 days 13:45:18.000000000,0 days 13:47:42.000000000,0 days 00:02:24.000000000,37.7677331 -122.415607
5188,Alarms,0 days 11:03:14.000000000,0 days 11:04:32.000000000,0 days 00:01:18.000000000,37.78097102 -122.4321664
5189,Structure Fire,0 days 02:04:53.000000000,0 days 02:05:20.000000000,0 days 00:00:27.000000000,37.798714 -122.4096183
5190,Medical Incident,0 days 12:50:13.000000000,0 days 12:53:37.000000000,0 days 00:03:24.000000000,37.77021017 -122.445345
5191,Medical Incident,0 days 19:47:18.000000000,0 days 19:52:08.000000000,0 days 00:04:50.000000000,37.78116831 -122.4348057
5192,Medical Incident,0 days 18:12:08.000000000,0 days 18:16:43.000000000,0 days 00:04:35.000000000,37.78597748 -122.4053594
5193,Medical Incident,0 days 06:36:35.000000000,0 days 06:42:09.000000000,0 days 00:05:34.000000000,37.78967095 -122.4196571
5194,Medical Incident,0 days 23:59:37.000000000,0 days 00:00:25.000000000,-1 days +00:00:48.000000000,37.77685589 -122.438177
5195,Medical Incident,0 days 01:31:09.000000000,0 days 01:34:25.000000000,0 days 00:03:16.000000000,37.74161828 -122.448658
5196,Medical Incident,0 days 18:06:44.000000000,0 days 18:17:51.000000000,0 days 00:11:07.000000000,37.8050779 -122.4252986
5197,Alarms,0 days 04:31:08.000000000,0 days 04:33:54.000000000,0 days 00:02:46.000000000,37.78225009 -122.4112686
5198,Alarms,0 days 11:03:14.000000000,0 days 11:04:32.000000000,0 days 00:01:18.000000000,37.78802055 -122.4260616
5199,Alarms,0 days 20:40:14.000000000,0 days 20:40:42.000000000,0 days 00:00:28.000000000,37.798714 -122.4096183
5200,Medical Incident,0 days 03:41:46.000000000,0 days 03:43:25.000000000,0 days 00:01:39.000000000,37.71872229 -122.3891183
5201,Outside Fire,0 days 07:39:50.000000000,0 days 07:40:18.000000000,0 days 00:00:28.000000000,37.78479798 -122.4396639
5202,Medical Incident,0 days 23:40:16.000000000,0 days 23:42:26.000000000,0 days 00:02:10.000000000,37.79804495 -122.3963671
5203,Medical Incident,0 days 12:30:26.000000000,0 days 12:31:57.000000000,0 days 00:01:31.000000000,37.78646212 -122.4525711
5204,Medical Incident,0 days 20:28:14.000000000,0 days 20:30:32.000000000,0 days 00:02:18.000000000,37.77762424 -122.3999811
5205,Medical Incident,0 days 13:31:54.000000000,0 days 13:33:45.000000000,0 days 00:01:51.000000000,37.78594273 -122.4189026
5206,Alarms,0 days 10:56:56.000000000,0 days 10:58:02.000000000,0 days 00:01:06.000000000,37.77404134 -122.423188
5207,Alarms,0 days 11:41:16.000000000,0 days 11:43:04.000000000,0 days 00:01:48.000000000,37.7639379 -122.3942141
5208,Medical Incident,0 days 15:21:30.000000000,0 days 15:22:34.000000000,0 days 00:01:04.000000000,37.76410441 -122.421878
5209,Medical Incident,0 days 12:04:04.000000000,0 days 12:04:47.000000000,0 days 00:00:43.000000000,37.7702452 -122.425669
5210,Medical Incident,0 days 01:02:12.000000000,0 days 01:04:24.000000000,0 days 00:02:12.000000000,37.76653011 -122.4212887
5211,Medical Incident,0 days 10:49:05.000000000,0 days 10:52:58.000000000,0 days 00:03:53.000000000,37.75362875 -122.3955231
5212,Traffic Collision,0 days 18:03:56.000000000,0 days 18:08:22.000000000,0 days 00:04:26.000000000,37.73238073 -122.378268
5213,Medical Incident,0 days 19:27:51.000000000,0 days 19:30:28.000000000,0 days 00:02:37.000000000,37.78537343 -122.4590871
5214,Medical Incident,0 days 15:08:24.000000000,0 days 15:10:13.000000000,0 days 00:01:49.000000000,37.79411691 -122.3965564
5215,Medical Incident,0 days 09:51:55.000000000,0 days 09:57:37.000000000,0 days 00:05:42.000000000,37.80702731 -122.4138125
5216,Medical Incident,0 days 16:01:57.000000000,0 days 16:02:11.000000000,0 days 00:00:14.000000000,37.78916078 -122.4161834
5217,Medical Incident,0 days 08:08:18.000000000,0 days 08:08:18.000000000,0 days 00:00:00.000000000,37.77953108 -122.4135425
5218,Medical Incident,0 days 09:05:26.000000000,0 days 09:06:48.000000000,0 days 00:01:22.000000000,37.7686746 -122.4290538
5219,Medical Incident,0 days 16:13:49.000000000,0 days 16:15:35.000000000,0 days 00:01:46.000000000,37.79447972 -122.3947476
5220,Medical Incident,0 days 05:17:37.000000000,0 days 05:21:41.000000000,0 days 00:04:04.000000000,37.74823073 -122.414919
5221,Medical Incident,0 days 18:25:21.000000000,0 days 18:26:53.000000000,0 days 00:01:32.000000000,37.72610068 -122.4332047
5222,Structure Fire,0 days 16:25:42.000000000,0 days 16:27:06.000000000,0 days 00:01:24.000000000,37.78469892 -122.4135935
5223,Citizen Assist / Service Call,0 days 11:42:12.000000000,0 days 11:44:28.000000000,0 days 00:02:16.000000000,37.73527383 -122.3914135
5224,Medical Incident,0 days 14:26:40.000000000,0 days 14:28:24.000000000,0 days 00:01:44.000000000,37.80826332 -122.4149725
5225,Medical Incident,0 days 09:07:49.000000000,0 days 09:08:59.000000000,0 days 00:01:10.000000000,37.78594273 -122.4189026
5226,Medical Incident,0 days 06:38:21.000000000,0 days 06:38:35.000000000,0 days 00:00:14.000000000,37.77633827 -122.4029965
5227,Traffic Collision,0 days 19:23:18.000000000,0 days 19:28:52.000000000,0 days 00:05:34.000000000,37.76429934 -122.4185514
5228,Medical Incident,0 days 10:45:52.000000000,0 days 10:49:09.000000000,0 days 00:03:17.000000000,37.71947658 -122.3969544
5229,Medical Incident,0 days 17:52:43.000000000,0 days 17:53:11.000000000,0 days 00:00:28.000000000,37.77555491 -122.4404673
5230,Medical Incident,0 days 16:41:58.000000000,0 days 16:42:45.000000000,0 days 00:00:47.000000000,37.71760251 -122.4062683
5231,Structure Fire,0 days 07:14:16.000000000,0 days 07:15:03.000000000,0 days 00:00:47.000000000,37.80558464 -122.4119727
5232,Medical Incident,0 days 12:30:04.000000000,0 days 12:34:25.000000000,0 days 00:04:21.000000000,37.74983632 -122.4182805
5233,Medical Incident,0 days 23:37:00.000000000,0 days 23:37:12.000000000,0 days 00:00:12.000000000,37.72158648 -122.4421337
5234,Alarms,0 days 09:00:34.000000000,0 days 09:03:08.000000000,0 days 00:02:34.000000000,37.75643742 -122.4154808
5235,Alarms,0 days 10:56:56.000000000,0 days 10:58:02.000000000,0 days 00:01:06.000000000,37.7841909 -122.4101195
5236,Structure Fire,0 days 19:07:50.000000000,0 days 19:07:56.000000000,0 days 00:00:06.000000000,37.7639379 -122.3942141
5237,Medical Incident,0 days 08:58:00.000000000,0 days 08:59:21.000000000,0 days 00:01:21.000000000,37.75376855 -122.487183
5238,Medical Incident,0 days 07:31:58.000000000,0 days 07:33:49.000000000,0 days 00:01:51.000000000,37.77948978 -122.4073764
5239,Medical Incident,0 days 20:43:13.000000000,0 days 20:46:39.000000000,0 days 00:03:26.000000000,37.79171002 -122.4227754
5240,Medical Incident,0 days 18:41:57.000000000,0 days 18:44:46.000000000,0 days 00:02:49.000000000,37.8050779 -122.4252986
5241,Medical Incident,0 days 09:27:41.000000000,0 days 09:29:52.000000000,0 days 00:02:11.000000000,37.72566405 -122.4353138
5242,Alarms,0 days 17:20:25.000000000,0 days 17:24:15.000000000,0 days 00:03:50.000000000,37.75355162 -122.4354147
5243,Medical Incident,0 days 18:41:57.000000000,0 days 18:44:46.000000000,0 days 00:02:49.000000000,37.77078768 -122.4004626
5244,Traffic Collision,0 days 18:03:56.000000000,0 days 18:08:22.000000000,0 days 00:04:26.000000000,37.72566405 -122.4353138
5245,Citizen Assist / Service Call,0 days 18:47:58.000000000,0 days 18:50:46.000000000,0 days 00:02:48.000000000,37.78537343 -122.4590871
5246,Medical Incident,0 days 17:26:55.000000000,0 days 17:29:33.000000000,0 days 00:02:38.000000000,37.7459563 -122.4542399
5247,Medical Incident,0 days 20:54:30.000000000,0 days 20:58:28.000000000,0 days 00:03:58.000000000,37.7866625 -122.4291682
5248,Medical Incident,0 days 18:02:34.000000000,0 days 18:04:51.000000000,0 days 00:02:17.000000000,37.78160513 -122.4163363
5249,Structure Fire,0 days 19:53:01.000000000,0 days 19:55:15.000000000,0 days 00:02:14.000000000,37.78611721 -122.4198542
5250,Medical Incident,0 days 23:40:16.000000000,0 days 23:42:26.000000000,0 days 00:02:10.000000000,37.77710453 -122.3927504
5251,Medical Incident,0 days 15:44:45.000000000,0 days 15:47:40.000000000,0 days 00:02:55.000000000,37.78646212 -122.4525711
5252,Traffic Collision,0 days 05:55:46.000000000,0 days 06:09:16.000000000,0 days 00:13:30.000000000,37.79503626 -122.3966105
5253,Medical Incident,0 days 18:02:34.000000000,0 days 18:04:51.000000000,0 days 00:02:17.000000000,37.78922561 -122.408595
5254,Medical Incident,0 days 16:02:34.000000000,0 days 16:03:34.000000000,0 days 00:01:00.000000000,37.78611721 -122.4198542
5255,Medical Incident,0 days 23:53:52.000000000,0 days 23:56:32.000000000,0 days 00:02:40.000000000,37.76095474 -122.4339036
5256,Medical Incident,0 days 08:20:11.000000000,0 days 08:25:16.000000000,0 days 00:05:05.000000000,37.71554505 -122.4736299
5257,Medical Incident,0 days 01:28:14.000000000,0 days 01:29:11.000000000,0 days 00:00:57.000000000,37.80860234 -122.4157858
5258,Medical Incident,0 days 12:22:37.000000000,0 days 12:24:37.000000000,0 days 00:02:00.000000000,37.78781816 -122.4083826
5259,Medical Incident,0 days 20:07:37.000000000,0 days 20:08:38.000000000,0 days 00:01:01.000000000,37.77591187 -122.4184636
5260,Medical Incident,0 days 17:26:40.000000000,0 days 17:27:54.000000000,0 days 00:01:14.000000000,37.79573711 -122.4234131
5261,Medical Incident,0 days 00:29:46.000000000,0 days 00:32:29.000000000,0 days 00:02:43.000000000,37.73812754 -122.4240635
5262,Medical Incident,0 days 17:54:42.000000000,0 days 17:55:33.000000000,0 days 00:00:51.000000000,37.76274366 -122.4217477
5263,Medical Incident,0 days 18:59:23.000000000,0 days 19:03:55.000000000,0 days 00:04:32.000000000,37.7825474 -122.4122479
5264,Medical Incident,0 days 16:22:10.000000000,0 days 16:23:10.000000000,0 days 00:01:00.000000000,37.77319006 -122.418237
5265,Medical Incident,0 days 17:37:06.000000000,0 days 17:41:11.000000000,0 days 00:04:05.000000000,37.78439649 -122.4169005
5266,Medical Incident,0 days 11:07:22.000000000,0 days 11:10:58.000000000,0 days 00:03:36.000000000,37.75250607 -122.414086
5267,Medical Incident,0 days 09:48:30.000000000,0 days 09:51:12.000000000,0 days 00:02:42.000000000,37.75376274 -122.4043548
5268,Medical Incident,0 days 08:31:22.000000000,0 days 08:33:03.000000000,0 days 00:01:41.000000000,37.77644931 -122.5017345
5269,Medical Incident,0 days 21:30:05.000000000,0 days 21:30:26.000000000,0 days 00:00:21.000000000,37.78283615 -122.4175021
5270,Medical Incident,0 days 10:57:01.000000000,0 days 11:00:09.000000000,0 days 00:03:08.000000000,37.7459563 -122.4542399
5271,Medical Incident,0 days 16:38:28.000000000,0 days 16:41:31.000000000,0 days 00:03:03.000000000,37.7903193 -122.4231629
5272,Medical Incident,0 days 09:40:43.000000000,0 days 09:42:04.000000000,0 days 00:01:21.000000000,37.78611721 -122.4198542
5273,Odor (Strange / Unknown),0 days 21:11:40.000000000,0 days 21:15:17.000000000,0 days 00:03:37.000000000,37.72992738 -122.3903141
5274,Medical Incident,0 days 17:02:12.000000000,0 days 17:04:14.000000000,0 days 00:02:02.000000000,37.76209916 -122.4149986
5275,Medical Incident,0 days 09:15:01.000000000,0 days 09:18:43.000000000,0 days 00:03:42.000000000,37.7249573 -122.4346713
5276,Outside Fire,0 days 07:39:50.000000000,0 days 07:40:18.000000000,0 days 00:00:28.000000000,37.78133406 -122.3990275
5277,Medical Incident,0 days 13:26:02.000000000,0 days 13:30:34.000000000,0 days 00:04:32.000000000,37.79804495 -122.3963671
5278,Structure Fire,0 days 16:25:42.000000000,0 days 16:27:06.000000000,0 days 00:01:24.000000000,37.79053181 -122.4039142
5279,Medical Incident,0 days 08:50:58.000000000,0 days 08:52:56.000000000,0 days 00:01:58.000000000,37.73527383 -122.3914135
5280,Traffic Collision,0 days 16:59:12.000000000,0 days 17:00:30.000000000,0 days 00:01:18.000000000,37.82403385 -122.376458
5281,Medical Incident,0 days 21:23:26.000000000,0 days 21:27:40.000000000,0 days 00:04:14.000000000,37.73238239 -122.4362384
5282,Medical Incident,0 days 08:20:11.000000000,0 days 08:25:16.000000000,0 days 00:05:05.000000000,37.75623199 -122.4188933
5283,Medical Incident,0 days 16:03:43.000000000,0 days 16:06:02.000000000,0 days 00:02:19.000000000,37.80860234 -122.4157858
5284,Alarms,0 days 12:58:08.000000000,0 days 13:01:49.000000000,0 days 00:03:41.000000000,37.80630033 -122.4119774
5285,Citizen Assist / Service Call,0 days 16:37:49.000000000,0 days 16:39:01.000000000,0 days 00:01:12.000000000,37.72238833 -122.4277819
5286,Outside Fire,0 days 07:39:50.000000000,0 days 07:40:18.000000000,0 days 00:00:28.000000000,37.75853818 -122.4637815
5287,Medical Incident,0 days 10:52:45.000000000,0 days 10:55:49.000000000,0 days 00:03:04.000000000,37.79804495 -122.3963671
5288,Medical Incident,0 days 08:44:11.000000000,0 days 08:48:06.000000000,0 days 00:03:55.000000000,37.78926925 -122.4162054
5289,Alarms,0 days 15:05:29.000000000,0 days 15:08:05.000000000,0 days 00:02:36.000000000,37.78906361 -122.4018031
5290,Medical Incident,0 days 07:17:58.000000000,0 days 07:21:22.000000000,0 days 00:03:24.000000000,37.76494911 -122.4432025
5291,Medical Incident,0 days 07:49:06.000000000,0 days 07:49:22.000000000,0 days 00:00:16.000000000,37.80212219 -122.4255434
5292,Medical Incident,0 days 19:08:10.000000000,0 days 19:09:52.000000000,0 days 00:01:42.000000000,37.76008506 -122.4349962
5293,Medical Incident,0 days 03:36:37.000000000,0 days 03:37:21.000000000,0 days 00:00:44.000000000,37.73871302 -122.4277449
5294,Medical Incident,0 days 16:28:14.000000000,0 days 16:29:07.000000000,0 days 00:00:53.000000000,37.76423612 -122.4196598
5295,Medical Incident,0 days 20:07:42.000000000,0 days 20:11:42.000000000,0 days 00:04:00.000000000,37.77830294 -122.4154368
5296,Medical Incident,0 days 14:56:30.000000000,0 days 15:02:45.000000000,0 days 00:06:15.000000000,37.76423612 -122.4196598
5297,Medical Incident,0 days 13:45:08.000000000,0 days 13:46:49.000000000,0 days 00:01:41.000000000,37.78800118 -122.4219549
5298,Alarms,0 days 12:53:23.000000000,0 days 12:54:50.000000000,0 days 00:01:27.000000000,37.80148647 -122.4120043
5299,Medical Incident,0 days 07:32:51.000000000,0 days 07:32:51.000000000,0 days 00:00:00.000000000,37.79380339 -122.4390417
5300,Medical Incident,0 days 13:21:19.000000000,0 days 13:22:00.000000000,0 days 00:00:41.000000000,37.78086621 -122.4288032
5301,Medical Incident,0 days 16:07:19.000000000,0 days 16:09:58.000000000,0 days 00:02:39.000000000,37.75502234 -122.499644
5302,Odor (Strange / Unknown),0 days 23:01:58.000000000,0 days 23:05:46.000000000,0 days 00:03:48.000000000,37.7815854 -122.4230902
5303,Alarms,0 days 04:31:08.000000000,0 days 04:33:54.000000000,0 days 00:02:46.000000000,37.78114586 -122.409026
5304,Medical Incident,0 days 08:31:22.000000000,0 days 08:35:23.000000000,0 days 00:04:01.000000000,37.78802055 -122.4260616
5305,Medical Incident,0 days 18:45:41.000000000,0 days 18:55:24.000000000,0 days 00:09:43.000000000,37.77507596 -122.5112949
5306,Alarms,0 days 18:22:26.000000000,0 days 18:24:05.000000000,0 days 00:01:39.000000000,37.75309998 -122.4175009
5307,Medical Incident,0 days 01:31:09.000000000,0 days 01:33:48.000000000,0 days 00:02:39.000000000,37.75675709 -122.4830289
5308,Medical Incident,0 days 21:34:10.000000000,0 days 21:35:22.000000000,0 days 00:01:12.000000000,37.8050779 -122.4252986
5309,Alarms,0 days 11:08:36.000000000,0 days 11:10:07.000000000,0 days 00:01:31.000000000,37.78402999 -122.4546178
5310,Medical Incident,0 days 20:29:05.000000000,0 days 20:31:34.000000000,0 days 00:02:29.000000000,37.7971786 -122.4101446
5311,Alarms,0 days 12:53:23.000000000,0 days 12:54:50.000000000,0 days 00:01:27.000000000,37.76803165 -122.4474482
5312,Alarms,0 days 09:00:34.000000000,0 days 09:03:08.000000000,0 days 00:02:34.000000000,37.79380339 -122.4390417
5313,Medical Incident,0 days 07:04:28.000000000,0 days 07:08:42.000000000,0 days 00:04:14.000000000,37.7841909 -122.4101195
5314,Traffic Collision,0 days 09:33:15.000000000,0 days 09:35:42.000000000,0 days 00:02:27.000000000,37.78086621 -122.4288032
5315,Traffic Collision,0 days 08:15:58.000000000,0 days 08:17:57.000000000,0 days 00:01:59.000000000,37.77732776 -122.3930886
5316,Medical Incident,0 days 18:26:46.000000000,0 days 18:32:10.000000000,0 days 00:05:24.000000000,37.78636079 -122.4156169
5317,Alarms,0 days 12:10:55.000000000,0 days 12:12:19.000000000,0 days 00:01:24.000000000,37.75144383 -122.4182976
5318,Structure Fire,0 days 19:53:01.000000000,0 days 19:55:15.000000000,0 days 00:02:14.000000000,37.773389 -122.413645
5319,Medical Incident,0 days 07:20:10.000000000,0 days 07:21:02.000000000,0 days 00:00:52.000000000,37.77710453 -122.3927504
5320,Medical Incident,0 days 14:05:41.000000000,0 days 14:07:35.000000000,0 days 00:01:54.000000000,37.80019019 -122.4411774
5321,Medical Incident,0 days 14:28:09.000000000,0 days 14:33:22.000000000,0 days 00:05:13.000000000,37.78872976 -122.4564036
5322,Alarms,0 days 15:15:07.000000000,0 days 15:16:49.000000000,0 days 00:01:42.000000000,37.78053761 -122.4204851
5323,Medical Incident,0 days 09:18:45.000000000,0 days 09:21:19.000000000,0 days 00:02:34.000000000,37.72380521 -122.4733271
5324,Alarms,0 days 16:15:52.000000000,0 days 16:18:55.000000000,0 days 00:03:03.000000000,37.79265684 -122.3923645
5325,Medical Incident,0 days 15:24:24.000000000,0 days 15:26:29.000000000,0 days 00:02:05.000000000,37.77964754 -122.411386
5326,Medical Incident,0 days 09:39:58.000000000,0 days 09:41:22.000000000,0 days 00:01:24.000000000,37.75191566 -122.4655374
5327,Structure Fire,0 days 16:25:42.000000000,0 days 16:27:06.000000000,0 days 00:01:24.000000000,37.77830294 -122.4154368
5328,Medical Incident,0 days 10:17:54.000000000,0 days 10:27:18.000000000,0 days 00:09:24.000000000,37.73527383 -122.3914135
5329,Medical Incident,0 days 11:54:21.000000000,0 days 12:02:22.000000000,0 days 00:08:01.000000000,37.73425457 -122.416298
5330,Traffic Collision,0 days 09:33:15.000000000,0 days 09:35:42.000000000,0 days 00:02:27.000000000,37.77465348 -122.4051182
5331,Medical Incident,0 days 21:44:04.000000000,0 days 21:48:24.000000000,0 days 00:04:20.000000000,37.77732776 -122.3930886
5332,Structure Fire,0 days 19:53:01.000000000,0 days 19:55:15.000000000,0 days 00:02:14.000000000,37.71901187 -122.4804507
5333,Alarms,0 days 14:37:45.000000000,0 days 14:38:35.000000000,0 days 00:00:50.000000000,37.77710453 -122.3927504
5334,Medical Incident,0 days 09:41:25.000000000,0 days 09:59:52.000000000,0 days 00:18:27.000000000,37.79862378 -122.4606347
5335,Medical Incident,0 days 18:37:35.000000000,0 days 18:40:09.000000000,0 days 00:02:34.000000000,37.78387236 -122.4201755
5336,Medical Incident,0 days 18:56:34.000000000,0 days 18:58:21.000000000,0 days 00:01:47.000000000,37.72996736 -122.3820961
5337,Citizen Assist / Service Call,0 days 11:10:13.000000000,0 days 11:12:38.000000000,0 days 00:02:25.000000000,37.76070861 -122.4994966
5338,Medical Incident,0 days 01:04:04.000000000,0 days 01:07:04.000000000,0 days 00:03:00.000000000,37.72615321 -122.437433
5339,Medical Incident,0 days 14:01:08.000000000,0 days 14:04:46.000000000,0 days 00:03:38.000000000,37.74817255 -122.458695
5340,Alarms,0 days 13:33:58.000000000,0 days 13:35:21.000000000,0 days 00:01:23.000000000,37.74962167 -122.4751508
5341,Alarms,0 days 12:10:55.000000000,0 days 12:12:19.000000000,0 days 00:01:24.000000000,37.78394291 -122.4129524
